# Benchmark, evals, iterations, total, min, max, median
Base58CheckEncode, 5, 320000, 6.07234, 3.76465e-06, 3.83458e-06, 3.78286e-06
Base58Decode, 5, 800000, 6.20441, 1.53282e-06, 1.58792e-06, 1.54434e-06
Base58Encode, 5, 470000, 6.13138, 2.59391e-06, 2.62159e-06, 2.61111e-06
BenchLockedPool, 5, 530, 8.27782, 0.00310973, 0.0031356, 0.0031229
CCheckQueueSpeedPrevectorJob, 5, 1400, 12.707, 0.00163893, 0.00194033, 0.00183369
CCoinsCaching, 5, 170000, 5.85714, 6.83582e-06, 6.95117e-06, 6.89578e-06
CoinSelection, 5, 650, 4.46101, 0.00136065, 0.00139355, 0.00137043
DeserializeAndCheckBlockTest, 5, 160, 5.95397, 0.00740601, 0.0075035, 0.00742877
DeserializeBlockTest, 5, 130, 4.82909, 0.00738483, 0.00757536, 0.00739174
FastRandom_1bit, 5, 440000000, 6.62113, 2.9774e-09, 3.0738e-09, 2.99288e-09
FastRandom_32bit, 5, 110000000, 5.82319, 1.05192e-08, 1.073e-08, 1.05667e-08
MempoolEviction, 5, 41000, 6.41232, 3.11899e-05, 3.1396e-05, 3.12594e-05
PrevectorClear, 5, 5600, 6.33463, 0.00022569, 0.000226893, 0.000226109
PrevectorDestructor, 5, 5700, 6.38908, 0.000223169, 0.000224956, 0.00022397
RIPEMD160, 5, 440, 5.58694, 0.00253233, 0.00255187, 0.00253989
RollingBloom, 5, 1500000, 4.59279, 6.05532e-07, 6.22936e-07, 6.06582e-07
SHA1, 5, 570, 4.90484, 0.00171288, 0.00172984, 0.00172031
SHA256, 5, 340, 5.43802, 0.00317273, 0.00322619, 0.00320025
SHA256_32b, 5, 4700000, 5.71277, 2.4179e-07, 2.44759e-07, 2.42413e-07
SHA512, 5, 330, 5.22825, 0.00307059, 0.00321643, 0.00318729
SipHash_32b, 5, 40000000, 5.53315, 2.73885e-08, 2.79913e-08, 2.75406e-08
Sleep100ms, 5, 10, 5.00347, 0.100065, 0.100076, 0.100069
Trig, 5, 12000000, 1.89538, 2.95541e-08, 3.25441e-08, 3.19661e-08
VerifyScriptBench, 5, 6300, 6.28722, 0.000197221, 0.00020272, 0.000199795
