date,elapsed time,height
2019-12-09 09:26:26,0:00:00,0
2019-12-09 10:59:42,1:33:16,1
2019-12-09 10:59:45,1:33:19,2
2019-12-09 10:59:45,1:33:19,3
2019-12-09 10:59:45,1:33:19,4
2019-12-09 10:59:45,1:33:19,5
2019-12-09 10:59:45,1:33:19,6
2019-12-09 10:59:45,1:33:19,7
2019-12-09 10:59:45,1:33:19,8
2019-12-09 10:59:45,1:33:19,9
2019-12-09 11:06:45,1:40:19,570
2019-12-09 11:16:49,1:50:23,1636
2019-12-09 11:29:58,2:03:32,3863
2019-12-09 11:36:28,2:10:02,5929
2019-12-09 11:46:32,2:20:06,8442
2019-12-09 11:56:45,2:30:19,9599
2019-12-09 12:07:56,2:41:30,12345
2019-12-09 12:18:14,2:51:48,13434
2019-12-09 12:27:40,3:01:14,14136
2019-12-09 12:36:46,3:10:20,17494
2019-12-09 12:46:26,3:20:00,67138
2019-12-09 12:56:26,3:30:00,182921
2019-12-09 13:06:26,3:40:00,305104
2019-12-09 13:16:26,3:50:00,426169
2019-12-09 13:26:26,4:00:00,544586
2019-12-09 13:36:26,4:10:00,665793
2019-12-09 13:46:26,4:20:00,780263
2019-12-09 13:56:26,4:30:00,898747
2019-12-09 14:06:26,4:40:00,1017130
2019-12-09 14:16:26,4:50:00,1135957
2019-12-09 14:26:26,5:00:00,1250709
2019-12-09 14:36:26,5:10:00,1364318
2019-12-09 14:46:26,5:20:00,1480599
2019-12-09 14:56:26,5:30:00,1595451
2019-12-09 15:06:26,5:40:00,1710804
2019-12-09 15:16:26,5:50:00,1821242
2019-12-09 15:26:27,6:00:01,1857145
2019-12-09 15:36:31,6:10:05,1857278
2019-12-09 15:46:31,6:20:05,1857429
2019-12-09 15:56:27,6:30:01,1857539
2019-12-09 16:06:41,6:40:15,1857675
2019-12-09 16:16:26,6:50:00,1857827
2019-12-09 16:26:28,7:00:02,1857985
2019-12-09 16:36:28,7:10:02,1858139
2019-12-09 16:46:32,7:20:06,1858285
2019-12-09 16:56:45,7:30:19,1858419
