date,elapsed time,height
2019-12-06 17:04:47,0:00:00,0
2019-12-06 17:14:47,0:10:00,81558
2019-12-06 17:24:47,0:20:00,163515
2019-12-06 17:34:47,0:30:00,247357
2019-12-06 17:44:47,0:40:00,332149
2019-12-06 17:54:47,0:50:00,416640
2019-12-06 18:04:47,1:00:00,500986
2019-12-06 18:14:47,1:10:00,583079
2019-12-06 18:24:47,1:20:00,666255
2019-12-06 18:34:47,1:30:00,751245
2019-12-06 18:44:47,1:40:00,836760
2019-12-06 18:54:47,1:50:00,921568
2019-12-06 19:04:47,2:00:00,1003629
2019-12-06 19:14:47,2:10:00,1086954
2019-12-06 19:24:47,2:20:00,1169398
2019-12-06 19:34:47,2:30:00,1251957
2019-12-06 19:44:47,2:40:00,1330426
2019-12-06 19:54:47,2:50:00,1406533
2019-12-06 20:04:47,3:00:00,1486733
2019-12-06 20:14:47,3:10:00,1567024
2019-12-06 20:24:47,3:20:00,1650765
2019-12-06 20:34:47,3:30:00,1734824
2019-12-06 20:44:50,3:40:03,1809096
