date,elapsed time,height
2019-12-06 17:04:47,0,0
2019-12-06 17:14:47,600,81558
2019-12-06 17:24:47,1200,163515
2019-12-06 17:34:47,1800,247357
2019-12-06 17:44:47,2400,332149
2019-12-06 17:54:47,3000,416640
2019-12-06 18:04:47,3600,500986
2019-12-06 18:14:47,4200,583079
2019-12-06 18:24:47,4800,666255
2019-12-06 18:34:47,5400,751245
2019-12-06 18:44:47,6000,836760
2019-12-06 18:54:47,6600,921568
2019-12-06 19:04:47,7200,1003629
2019-12-06 19:14:47,7800,1086954
2019-12-06 19:24:47,8400,1169398
2019-12-06 19:34:47,9000,1251957
2019-12-06 19:44:47,9600,1330426
2019-12-06 19:54:47,10200,1406533
2019-12-06 20:04:47,10800,1486733
2019-12-06 20:14:47,11400,1567024
2019-12-06 20:24:47,12000,1650765
2019-12-06 20:34:47,12600,1734824
2019-12-06 20:44:50,13203,1809096
