date,elapsed time,height
2019-12-08 21:51:27,0,0
2019-12-09 00:44:56,10409,1
2019-12-09 00:44:56,10409,2
2019-12-09 00:44:56,10409,3
2019-12-09 00:44:56,10409,4
2019-12-09 00:44:56,10409,5
2019-12-09 00:44:56,10409,6
2019-12-09 00:44:56,10409,7
2019-12-09 00:44:56,10409,8
2019-12-09 00:44:56,10409,9
2019-12-09 00:44:56,10409,10
2019-12-09 00:44:56,10409,11
2019-12-09 00:44:56,10409,12
2019-12-09 00:44:56,10409,13
2019-12-09 00:44:56,10409,14
2019-12-09 00:44:56,10409,15
2019-12-09 00:44:56,10409,16
2019-12-09 00:44:56,10409,17
2019-12-09 00:51:27,10800,64248
2019-12-09 01:01:27,11400,162872
2019-12-09 01:11:27,12000,262320
2019-12-09 01:21:27,12600,361147
2019-12-09 01:31:27,13200,459943
2019-12-09 01:41:27,13800,558324
2019-12-09 01:51:27,14400,656945
2019-12-09 02:01:27,15000,755459
2019-12-09 02:11:27,15600,853503
2019-12-09 02:21:27,16200,953072
2019-12-09 02:31:27,16800,1053453
2019-12-09 02:41:27,17400,1153410
2019-12-09 02:51:27,18000,1254060
2019-12-09 03:01:27,18600,1355868
2019-12-09 03:11:27,19200,1458140
2019-12-09 03:21:27,19800,1559855
2019-12-09 03:31:27,20400,1662247
2019-12-09 03:41:27,21000,1764195
2019-12-09 03:51:32,21605,1848862
2019-12-09 04:01:36,22209,1848986
2019-12-09 04:11:32,22805,1849106
2019-12-09 04:21:28,23401,1849220
2019-12-09 04:31:30,24003,1849349
2019-12-09 04:41:27,24600,1849475
2019-12-09 04:51:49,25222,1849577
2019-12-09 05:01:27,25800,1849672
2019-12-09 05:11:29,26402,1849801
2019-12-09 05:21:27,27000,1849926
2019-12-09 05:31:31,27604,1850056
2019-12-09 05:41:41,28214,1850184
2019-12-09 05:51:27,28800,1850290
2019-12-09 06:01:35,29408,1850402
2019-12-09 06:11:40,30013,1850536
2019-12-09 06:21:32,30605,1850656
2019-12-09 06:31:30,31203,1850781
2019-12-09 06:41:31,31804,1850905
2019-12-09 06:51:34,32407,1851018
