date,elapsed time,height
2019-12-09 17:16:02,0,0
2019-12-09 18:48:17,5535,1
2019-12-09 18:48:20,5538,2
2019-12-09 18:48:20,5538,3
2019-12-09 18:48:20,5538,4
2019-12-09 18:48:20,5538,5
2019-12-09 18:48:20,5538,6
2019-12-09 18:48:20,5538,7
2019-12-09 18:48:20,5538,8
2019-12-09 18:48:20,5538,9
2019-12-09 19:01:08,6306,1017
2019-12-09 19:06:13,6611,3545
2019-12-09 19:16:42,7240,5796
2019-12-09 19:30:25,8063,7315
2019-12-09 19:36:12,8410,8705
2019-12-09 19:46:02,9000,11430
2019-12-09 19:57:04,9662,13642
2019-12-09 20:07:02,10260,15767
2019-12-09 20:17:20,10878,17815
2019-12-09 20:26:08,11406,19259
2019-12-09 20:36:17,12015,21145
2019-12-09 20:46:07,12605,24246
2019-12-09 20:56:02,13200,41143
2019-12-09 21:06:02,13800,100571
2019-12-09 21:16:02,14400,166415
2019-12-09 21:26:02,15000,235012
2019-12-09 21:36:02,15600,300381
2019-12-09 21:46:02,16200,367566
2019-12-09 21:56:02,16800,430940
2019-12-09 22:06:02,17400,499407
2019-12-09 22:16:02,18000,567089
2019-12-09 22:26:02,18600,634252
2019-12-09 22:36:02,19200,700619
2019-12-09 22:46:02,19800,766612
2019-12-09 22:56:02,20400,832909
2019-12-09 23:06:02,21000,903404
2019-12-09 23:16:02,21600,973465
2019-12-09 23:26:02,22200,1042566
2019-12-09 23:36:02,22800,1112462
2019-12-09 23:46:02,23400,1179386
2019-12-09 23:56:02,24000,1245502
2019-12-10 00:06:02,24600,1311978
2019-12-10 00:16:02,25200,1379728
2019-12-10 00:26:02,25800,1449127
2019-12-10 00:36:02,26400,1516383
2019-12-10 00:46:02,27000,1582923
2019-12-10 00:56:02,27600,1651848
2019-12-10 01:06:02,28200,1723230
2019-12-10 01:16:02,28800,1793793
2019-12-10 01:26:02,29400,1857576
2019-12-10 01:36:04,30002,1864588
2019-12-10 01:46:03,30601,1864714
2019-12-10 01:56:17,31215,1864851
2019-12-10 02:06:02,31800,1864963
2019-12-10 02:16:02,32400,1865073
2019-12-10 02:26:05,33003,1865207
2019-12-10 02:36:19,33617,1865343
2019-12-10 02:46:06,34204,1865450
2019-12-10 02:56:05,34803,1865572
2019-12-10 03:06:03,35401,1865682
2019-12-10 03:16:13,36011,1865802
2019-12-10 03:26:05,36603,1865913
2019-12-10 03:36:02,37200,1866026
2019-12-10 03:46:04,37802,1866140
2019-12-10 03:56:03,38401,1866234
2019-12-10 04:06:04,39002,1866371
2019-12-10 04:16:10,39608,1866498
2019-12-10 04:26:06,40204,1866616
2019-12-10 04:36:02,40800,1866735
2019-12-10 04:46:05,41403,1866859
2019-12-10 04:56:07,42005,1866973
2019-12-10 05:06:05,42603,1867089
2019-12-10 05:16:19,43217,1867206
2019-12-10 05:26:05,43803,1867318
2019-12-10 05:36:05,44403,1867446
2019-12-10 05:46:02,45000,1867561
2019-12-10 05:56:07,45605,1867696
2019-12-10 06:06:02,46200,1867821
2019-12-10 06:16:02,46800,1867945
2019-12-10 06:26:04,47402,1868057
2019-12-10 06:36:02,48000,1868175
2019-12-10 06:46:03,48601,1868256
2019-12-10 06:56:05,49203,1868381
2019-12-10 07:06:02,49800,1868502
2019-12-10 07:16:10,50408,1868639
2019-12-10 07:26:05,51003,1868764
2019-12-10 07:36:09,51607,1868884
2019-12-10 07:46:05,52203,1868986
2019-12-10 07:56:03,52801,1869110
2019-12-10 08:06:12,53410,1869244
2019-12-10 08:16:05,54003,1869362
2019-12-10 08:26:05,54603,1869479
2019-12-10 08:36:07,55205,1869609
2019-12-10 08:46:02,55800,1869743
2019-12-10 08:56:05,56403,1869863
2019-12-10 09:06:02,57000,1869985
2019-12-10 09:16:02,57600,1870101
2019-12-10 09:26:03,58201,1870240
2019-12-10 09:36:03,58801,1870367
2019-12-10 09:46:03,59401,1870484
2019-12-10 09:56:02,60000,1870612
2019-12-10 10:06:04,60602,1870737
2019-12-10 10:16:02,61200,1870876
2019-12-10 10:26:06,61804,1870994
2019-12-10 10:36:04,62402,1871122
2019-12-10 10:46:09,63007,1871236
2019-12-10 10:56:03,63601,1871341
2019-12-10 11:06:04,64202,1871463
2019-12-10 11:16:04,64802,1871580
2019-12-10 11:26:04,65402,1871695
2019-12-10 11:36:02,66000,1871822
2019-12-10 11:46:03,66601,1871933
2019-12-10 11:56:04,67202,1872043
2019-12-10 12:06:06,67804,1872151
2019-12-10 12:16:03,68401,1872278
2019-12-10 12:26:05,69003,1872402
2019-12-10 12:36:05,69603,1872517
2019-12-10 12:46:04,70202,1872623
2019-12-10 12:56:07,70805,1872732
2019-12-10 13:06:10,71408,1872848
2019-12-10 13:16:05,72003,1872967
2019-12-10 13:26:02,72600,1873092
2019-12-10 13:36:03,73201,1873210
2019-12-10 13:46:09,73807,1873324
2019-12-10 13:56:06,74404,1873432
2019-12-10 14:06:08,75006,1873552
2019-12-10 14:16:06,75604,1873688
2019-12-10 14:26:04,76202,1873811
2019-12-10 14:36:06,76804,1873944
2019-12-10 14:46:07,77405,1874063
2019-12-10 14:56:06,78004,1874190
2019-12-10 15:06:04,78602,1874315
2019-12-10 15:16:04,79202,1874438
2019-12-10 15:26:05,79803,1874559
2019-12-10 15:36:06,80404,1874686
