date,elapsed time,height
2019-12-10 18:26:48,0:00:00,0
2019-12-10 20:00:04,1:33:16,1
2019-12-10 20:00:08,1:33:20,2
2019-12-10 20:00:08,1:33:20,3
2019-12-10 20:00:08,1:33:20,4
2019-12-10 20:00:08,1:33:20,5
2019-12-10 20:00:08,1:33:20,6
2019-12-10 20:00:08,1:33:20,7
2019-12-10 20:00:08,1:33:20,8
2019-12-10 20:00:08,1:33:20,9
2019-12-10 20:08:29,1:41:41,737
2019-12-10 20:17:04,1:50:16,1171
2019-12-10 20:28:51,2:02:03,3108
2019-12-10 20:36:54,2:10:06,5853
2019-12-10 20:49:41,2:22:53,8098
2019-12-10 20:56:56,2:30:08,9554
2019-12-10 21:06:55,2:40:07,11856
2019-12-10 21:20:14,2:53:26,13737
2019-12-10 21:26:58,3:00:10,15794
2019-12-10 21:36:49,3:10:01,18119
2019-12-10 21:47:41,3:20:53,20664
2019-12-10 21:56:48,3:30:00,69297
2019-12-10 22:06:48,3:40:00,139219
2019-12-10 22:16:48,3:50:00,213720
2019-12-10 22:26:48,4:00:00,283963
2019-12-10 22:36:48,4:10:00,359141
2019-12-10 22:46:48,4:20:00,432888
2019-12-10 22:56:48,4:30:00,502811
2019-12-10 23:06:48,4:40:00,573130
2019-12-10 23:16:48,4:50:00,642815
2019-12-10 23:26:48,5:00:00,709028
2019-12-10 23:36:48,5:10:00,776793
2019-12-10 23:46:48,5:20:00,847715
2019-12-10 23:56:48,5:30:00,917665
2019-12-11 00:06:48,5:40:00,987144
2019-12-11 00:16:48,5:50:00,1054707
2019-12-11 00:26:48,6:00:00,1124474
2019-12-11 00:36:48,6:10:00,1194318
2019-12-11 00:46:48,6:20:00,1261984
2019-12-11 00:56:48,6:30:00,1331094
2019-12-11 01:06:48,6:40:00,1398615
2019-12-11 01:16:48,6:50:00,1464490
2019-12-11 01:26:48,7:00:00,1529813
2019-12-11 01:36:48,7:10:00,1591500
2019-12-11 01:46:48,7:20:00,1660442
2019-12-11 01:56:48,7:30:00,1726483
2019-12-11 02:06:48,7:40:00,1793426
2019-12-11 02:16:48,7:50:00,1861676
2019-12-11 02:26:53,8:00:05,1882543
2019-12-11 02:36:48,8:10:00,1882668
2019-12-11 02:46:49,8:20:01,1882786
2019-12-11 02:56:50,8:30:02,1882898
2019-12-11 03:06:53,8:40:05,1883026
2019-12-11 03:16:50,8:50:02,1883148
2019-12-11 03:26:50,9:00:02,1883248
2019-12-11 03:36:54,9:10:06,1883366
2019-12-11 03:46:51,9:20:03,1883479
2019-12-11 03:56:50,9:30:02,1883593
2019-12-11 04:06:53,9:40:05,1883722
2019-12-11 04:16:48,9:50:00,1883843
2019-12-11 04:26:51,10:00:03,1883961
2019-12-11 04:36:48,10:10:00,1884083
2019-12-11 04:46:49,10:20:01,1884200
2019-12-11 04:56:54,10:30:06,1884313
2019-12-11 05:06:52,10:40:04,1884430
2019-12-11 05:16:49,10:50:01,1884554
2019-12-11 05:26:49,11:00:01,1884688
2019-12-11 05:36:54,11:10:06,1884800
2019-12-11 05:46:55,11:20:07,1884956
2019-12-11 05:56:49,11:30:01,1885075
2019-12-11 06:06:49,11:40:01,1885226
2019-12-11 06:17:15,11:50:27,1885338
2019-12-11 06:26:54,12:00:06,1885448
2019-12-11 06:36:54,12:10:06,1885578
2019-12-11 06:46:52,12:20:04,1885688
2019-12-11 06:56:53,12:30:05,1885801
2019-12-11 07:06:50,12:40:02,1885924
2019-12-11 07:16:49,12:50:01,1886046
2019-12-11 07:26:55,13:00:07,1886159
2019-12-11 07:36:57,13:10:09,1886264
2019-12-11 07:46:52,13:20:04,1886366
2019-12-11 07:56:49,13:30:01,1886474
2019-12-11 08:06:49,13:40:01,1886583
2019-12-11 08:16:55,13:50:07,1886712
2019-12-11 08:26:58,14:00:10,1886825
2019-12-11 08:37:01,14:10:13,1886936
2019-12-11 08:46:48,14:20:00,1887047
2019-12-11 08:56:51,14:30:03,1887160
