date,elapsed time,height
2019-12-07 22:54:55,0:00:00,0
2019-12-08 05:10:50,6:15:55,1
2019-12-08 05:10:50,6:15:55,2
2019-12-08 05:10:50,6:15:55,3
2019-12-08 05:10:50,6:15:55,4
2019-12-08 05:10:50,6:15:55,5
2019-12-08 05:10:50,6:15:55,6
2019-12-08 05:10:50,6:15:55,7
2019-12-08 05:10:50,6:15:55,8
2019-12-08 05:10:50,6:15:55,9
2019-12-08 05:10:50,6:15:55,10
2019-12-08 05:10:50,6:15:55,11
2019-12-08 05:10:50,6:15:55,12
2019-12-08 05:10:50,6:15:55,13
2019-12-08 05:10:50,6:15:55,14
2019-12-08 05:10:50,6:15:55,15
2019-12-08 05:10:50,6:15:55,16
2019-12-08 05:10:50,6:15:55,17
2019-12-08 05:10:50,6:15:55,18
2019-12-08 05:10:50,6:15:55,19
2019-12-08 05:10:50,6:15:55,20
2019-12-08 05:10:50,6:15:55,21
2019-12-08 05:10:50,6:15:55,22
2019-12-08 05:10:50,6:15:55,23
2019-12-08 05:10:50,6:15:55,24
2019-12-08 05:10:50,6:15:55,25
2019-12-08 05:10:50,6:15:55,26
2019-12-08 05:10:50,6:15:55,27
2019-12-08 05:10:50,6:15:55,28
2019-12-08 05:10:50,6:15:55,29
2019-12-08 05:10:50,6:15:55,30
2019-12-08 05:10:50,6:15:55,31
2019-12-08 05:10:50,6:15:55,32
2019-12-08 05:10:50,6:15:55,33
2019-12-08 05:10:50,6:15:55,34
2019-12-08 05:10:50,6:15:55,35
2019-12-08 05:10:50,6:15:55,36
2019-12-08 05:10:50,6:15:55,37
2019-12-08 05:14:55,6:20:00,17868
2019-12-08 05:24:55,6:30:00,61787
2019-12-08 05:34:55,6:40:00,105552
2019-12-08 05:44:55,6:50:00,149067
2019-12-08 05:54:55,7:00:00,192652
2019-12-08 06:04:55,7:10:00,236495
2019-12-08 06:14:55,7:20:00,279960
2019-12-08 06:24:55,7:30:00,322307
2019-12-08 06:34:55,7:40:00,365254
2019-12-08 06:44:55,7:50:00,407454
2019-12-08 06:54:55,8:00:00,450735
2019-12-08 07:04:55,8:10:00,493468
2019-12-08 07:14:55,8:20:00,536652
2019-12-08 07:24:55,8:30:00,580965
2019-12-08 07:34:55,8:40:00,625167
2019-12-08 07:44:55,8:50:00,669171
2019-12-08 07:54:55,9:00:00,713264
2019-12-08 08:04:55,9:10:00,757506
2019-12-08 08:14:55,9:20:00,801618
2019-12-08 08:24:55,9:30:00,845913
2019-12-08 08:34:55,9:40:00,889798
2019-12-08 08:44:55,9:50:00,933308
2019-12-08 08:54:55,10:00:00,976937
2019-12-08 09:04:55,10:10:00,1020466
2019-12-08 09:14:55,10:20:00,1064008
