date,elapsed time,height
2019-12-19 08:34:42,0:00:00,0
2019-12-19 15:53:29,7:18:47,1
2019-12-19 15:53:29,7:18:47,2
2019-12-19 15:53:29,7:18:47,3
2019-12-19 15:53:29,7:18:47,4
2019-12-19 15:53:29,7:18:47,5
2019-12-19 15:53:29,7:18:47,6
2019-12-19 15:53:29,7:18:47,7
2019-12-19 15:53:29,7:18:47,8
2019-12-19 15:53:29,7:18:47,9
2019-12-19 15:53:29,7:18:47,10
2019-12-19 15:53:29,7:18:47,11
2019-12-19 15:53:29,7:18:47,12
2019-12-19 15:53:29,7:18:47,13
2019-12-19 15:53:29,7:18:47,14
2019-12-19 15:53:29,7:18:47,15
2019-12-19 15:53:29,7:18:47,16
2019-12-19 15:53:29,7:18:47,17
2019-12-19 15:53:29,7:18:47,18
2019-12-19 15:53:29,7:18:47,19
2019-12-19 15:53:29,7:18:47,20
2019-12-19 15:53:29,7:18:47,21
2019-12-19 15:53:29,7:18:47,22
2019-12-19 15:53:29,7:18:47,23
2019-12-19 15:53:29,7:18:47,24
2019-12-19 15:53:29,7:18:47,25
2019-12-19 15:53:29,7:18:47,26
2019-12-19 15:53:29,7:18:47,27
2019-12-19 15:53:29,7:18:47,28
2019-12-19 15:53:29,7:18:47,29
2019-12-19 15:53:29,7:18:47,30
2019-12-19 15:53:29,7:18:47,31
2019-12-19 15:53:29,7:18:47,32
2019-12-19 15:53:29,7:18:47,33
2019-12-19 15:53:29,7:18:47,34
2019-12-19 15:53:29,7:18:47,35
2019-12-19 15:53:29,7:18:47,36
2019-12-19 15:53:29,7:18:47,37
2019-12-19 15:53:29,7:18:47,38
2019-12-19 15:53:29,7:18:47,39
2019-12-19 15:53:29,7:18:47,40
2019-12-19 15:53:29,7:18:47,41
2019-12-19 15:53:29,7:18:47,42
2019-12-19 15:53:29,7:18:47,43
2019-12-19 15:54:42,7:20:00,5814
2019-12-19 16:04:42,7:30:00,53436
2019-12-19 16:14:42,7:40:00,101023
2019-12-19 16:24:42,7:50:00,148557
2019-12-19 16:34:42,8:00:00,195644
2019-12-19 16:44:42,8:10:00,242960
2019-12-19 16:54:42,8:20:00,290183
2019-12-19 17:04:42,8:30:00,337433
2019-12-19 17:14:42,8:40:00,384720
2019-12-19 17:24:42,8:50:00,431929
2019-12-19 17:34:42,9:00:00,479230
2019-12-19 17:44:42,9:10:00,526512
2019-12-19 17:54:42,9:20:00,573737
2019-12-19 18:04:42,9:30:00,621023
2019-12-19 18:14:42,9:40:00,668121
2019-12-19 18:24:42,9:50:00,715277
2019-12-19 18:34:42,10:00:00,762393
2019-12-19 18:44:42,10:10:00,809715
2019-12-19 18:54:42,10:20:00,857103
2019-12-19 19:04:42,10:30:00,904427
2019-12-19 19:14:42,10:40:00,951623
2019-12-19 19:24:42,10:50:00,998496
2019-12-19 19:34:42,11:00:00,1045688
2019-12-19 19:44:42,11:10:00,1092768
2019-12-19 19:54:42,11:20:00,1139918
2019-12-19 20:04:42,11:30:00,1187168
2019-12-19 20:14:42,11:40:00,1234405
2019-12-19 20:24:42,11:50:00,1281598
2019-12-19 20:34:42,12:00:00,1328788
2019-12-19 20:44:42,12:10:00,1375918
2019-12-19 20:54:42,12:20:00,1423046
2019-12-19 21:04:42,12:30:00,1470215
2019-12-19 21:14:42,12:40:00,1517432
2019-12-19 21:24:42,12:50:00,1564341
2019-12-19 21:34:42,13:00:00,1611578
2019-12-19 21:44:42,13:10:00,1658559
2019-12-19 21:54:42,13:20:00,1705616
2019-12-19 22:04:42,13:30:00,1752743
2019-12-19 22:14:42,13:40:00,1799849
2019-12-19 22:24:42,13:50:00,1846970
2019-12-19 22:34:42,14:00:00,1894030
2019-12-19 22:44:42,14:10:00,1940983
2019-12-19 22:54:42,14:20:00,1988054
2019-12-19 23:04:42,14:30:00,2026538
2019-12-19 23:14:43,14:40:01,2035673
2019-12-19 23:24:44,14:50:02,2035786
2019-12-19 23:34:44,15:00:02,2035887
2019-12-19 23:44:49,15:10:07,2036013
2019-12-19 23:54:45,15:20:03,2036146
2019-12-20 00:04:42,15:30:00,2036278
2019-12-20 00:14:58,15:40:16,2036396
2019-12-20 00:24:43,15:50:01,2036516
2019-12-20 00:34:44,16:00:02,2036611
2019-12-20 00:44:48,16:10:06,2036733
2019-12-20 00:54:44,16:20:02,2036861
2019-12-20 01:04:54,16:30:12,2036971
2019-12-20 01:14:48,16:40:06,2037094
2019-12-20 01:24:57,16:50:15,2037231
2019-12-20 01:34:42,17:00:00,2037341
2019-12-20 01:44:58,17:10:16,2037440
2019-12-20 01:54:43,17:20:01,2037547
2019-12-20 02:04:45,17:30:03,2037655
2019-12-20 02:14:47,17:40:05,2037764
2019-12-20 02:24:52,17:50:10,2037873
2019-12-20 02:34:43,18:00:01,2037956
